"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test get file with incorrect file id","LMS service","Thu Feb 05 15:35:19 UTC 2026","passed","Thu Feb 05 15:35:19 UTC 2026","Validate entity","Files","",""
"","29","test create file","LMS service","Thu Feb 05 15:35:16 UTC 2026","passed","Thu Feb 05 15:35:16 UTC 2026","Create entity","Files","",""
"","25","test create file with empty directory","LMS service","Thu Feb 05 15:35:19 UTC 2026","passed","Thu Feb 05 15:35:19 UTC 2026","Validate entity","Files","",""
"","523","Create user","LMS service","Thu Feb 05 15:35:19 UTC 2026","passed","Thu Feb 05 15:35:20 UTC 2026","Create entity","Users","",""
"","537","Create user","LMS service","Thu Feb 05 15:35:19 UTC 2026","passed","Thu Feb 05 15:35:19 UTC 2026","Create entity","Users","",""
"","25","test create exercise","LMS service","Thu Feb 05 15:35:14 UTC 2026","passed","Thu Feb 05 15:35:14 UTC 2026","Create entity","Exercises","",""
"","558","Create user","LMS service","Thu Feb 05 15:35:20 UTC 2026","passed","Thu Feb 05 15:35:21 UTC 2026","Create entity","Users","",""
"","32","test update course","LMS service","Thu Feb 05 15:35:13 UTC 2026","passed","Thu Feb 05 15:35:13 UTC 2026","Update entity","Courses","",""
"","49","test get exercise","LMS service","Thu Feb 05 15:35:15 UTC 2026","passed","Thu Feb 05 15:35:15 UTC 2026","Get entity","Exercises","",""
"","14","test get file","LMS service","Thu Feb 05 15:35:18 UTC 2026","passed","Thu Feb 05 15:35:18 UTC 2026","Get entity","Files","",""
"","19","test delete file","LMS service","Thu Feb 05 15:35:18 UTC 2026","passed","Thu Feb 05 15:35:18 UTC 2026","Delete entity","Files","",""
"","544","test login with correct email and password","LMS service","Thu Feb 05 15:35:11 UTC 2026","passed","Thu Feb 05 15:35:12 UTC 2026","Login","Authentication","",""
"","262","test create file with empty filename","LMS service","Thu Feb 05 15:35:20 UTC 2026","passed","Thu Feb 05 15:35:20 UTC 2026","Validate entity","Files","",""
"","17","test delete exercise","LMS service","Thu Feb 05 15:35:15 UTC 2026","passed","Thu Feb 05 15:35:15 UTC 2026","Delete entity","Exercises","",""
"","21","test update exercise","LMS service","Thu Feb 05 15:35:14 UTC 2026","passed","Thu Feb 05 15:35:14 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Thu Feb 05 15:35:21 UTC 2026","passed","Thu Feb 05 15:35:21 UTC 2026","Get entity","Users","",""
"","27","test create course","LMS service","Thu Feb 05 15:35:13 UTC 2026","passed","Thu Feb 05 15:35:13 UTC 2026","Create entity","Courses","",""
"","24","test get exercises","LMS service","Thu Feb 05 15:35:16 UTC 2026","passed","Thu Feb 05 15:35:16 UTC 2026","Get entities","Exercises","",""
"","32","test get courses","LMS service","Thu Feb 05 15:35:12 UTC 2026","passed","Thu Feb 05 15:35:12 UTC 2026","Get entities","Courses","",""
