"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_count_numbers[3-9-1]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[-4-6-0]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_create_file_with_empty_directory","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","0","test_count_numbers[2-4-1]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_host[https://dev.company.com]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[1-1-0]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","1","test_count_numbers[1-1-30]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_get_user_me","tests.users","2026-01-25","broken","2026-01-25","TestUsers","test_users","",""
"","0","test_user_account","tests.pytest","2026-01-25","passed","2026-01-25","TestAccountFlow","test_fixtures","",""
"","0","test_count_numbers[-4-6-2]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_update_exercise","tests.exercises","2026-01-25","broken","2026-01-25","TestExercises","test_exercises","",""
"","0","test_count_numbers[-4-6-30]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_user_can_login","tests.pytest","2026-01-25","passed","2026-01-25","TestUserFlow","test_fixtures","",""
"","0","test_create_course","tests.courses","2026-01-25","broken","2026-01-25","TestCourses","test_courses","",""
"","0","test_count_numbers[2-4-30]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_login","tests.authentication","2026-01-25","broken","2026-01-25","TestAuthentication","test_authentication","",""
"","0","test_numbers[3]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_host[https://prod.company.com]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","4065","test_create_user[User with domain gmail.com created]","tests.users","2026-01-25","broken","2026-01-25","TestUsers","test_users","",""
"","0","test_count_numbers[3-9-30]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_numbers[-2]","tests.pytest","2026-01-25","skipped","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[-4-6--15]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","1","test_count_numbers[1-1-1]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_get_courses_response","tests.courses","2026-01-25","broken","2026-01-25","TestCourses","test_courses","",""
"","0","test_assert_positive_case","tests.pytest","2026-01-25","passed","2026-01-25","","test_pytest","",""
"","0","test_count_numbers[1-1-2]","tests.pytest","2026-01-25","failed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[2-4--15]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[3-9-0]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[1-1--15]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","4096","test_create_user[User with domain mail.ru created]","tests.users","2026-01-25","broken","2026-01-25","TestUsers","test_users","",""
"","0","test_get_file_with_incorrect_file_id","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","0","test_assert_negative_case","tests.pytest","2026-01-25","failed","2026-01-25","","test_pytest","",""
"","0","test_count_numbers[3-9-2]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_user_can_create_course","tests.pytest","2026-01-25","passed","2026-01-25","TestUserFlow","test_fixtures","",""
"","0","test_count_numbers[2-4-2]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_count_numbers[2-4-0]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_numbers[4]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_numbers[2]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_update_course","tests.courses","2026-01-25","broken","2026-01-25","TestCourses","test_courses","",""
"","0","test_first_try","tests.pytest","2026-01-25","passed","2026-01-25","","test_pytest","",""
"","0","test_count_numbers[-4-6-1]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_delete_file","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","0","test_count_numbers[3-9--15]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_create_file_with_empty_filename","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","0","test_create_file","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","4086","test_create_user[User with domain example.com created]","tests.users","2026-01-25","broken","2026-01-25","TestUsers","test_users","",""
"","0","test_host[https://stable.company.com]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_numbers[1]","tests.pytest","2026-01-25","passed","2026-01-25","","test_parametrization","",""
"","0","test_get_file","tests.files","2026-01-25","broken","2026-01-25","TestFiles","test_files","",""
"","0","test_delete_exercise","tests.exercises","2026-01-25","broken","2026-01-25","TestExercises","test_exercises","",""
"","0","test_create_exercise","tests.exercises","2026-01-25","broken","2026-01-25","TestExercises","test_exercises","",""
"","0","test_get_exercise","tests.exercises","2026-01-25","broken","2026-01-25","TestExercises","test_exercises","",""
"","0","test_get_exercises","tests.exercises","2026-01-25","broken","2026-01-25","TestExercises","test_exercises","",""
